event_sequence,utc,seconds_from_first_sample,seconds_from_flash_runner_complete,channel_0,channel_1,gain_index,integration_index,density_estimate,saturated,valid
129,2026-07-15T01:23:16.354133351Z,11.053816045,-4.715917613,2214,230,2,0,0.618693206049,0,1
130,2026-07-15T01:23:16.454476011Z,11.154158705,-4.615574953,2214,230,2,0,0.618693206049,0,1
131,2026-07-15T01:23:16.554875326Z,11.254558020,-4.515175638,2214,230,2,0,0.618693206049,0,1
132,2026-07-15T01:23:16.655316150Z,11.354998844,-4.414734814,2215,230,2,0,0.618498294313,0,1
133,2026-07-15T01:23:16.755691646Z,11.455374340,-4.314359318,2215,230,2,0,0.618498294313,0,1
134,2026-07-15T01:23:16.856337812Z,11.556020506,-4.213713152,2215,230,2,0,0.618498294313,0,1
135,2026-07-15T01:23:16.956965701Z,11.656648395,-4.113085263,2215,230,2,0,0.618498294313,0,1
136,2026-07-15T01:23:17.057451196Z,11.757133890,-4.012599768,2215,230,2,0,0.618498294313,0,1
137,2026-07-15T01:23:17.158097658Z,11.857780352,-3.911953306,2215,230,2,0,0.618498294313,0,1
138,2026-07-15T01:23:17.258769315Z,11.958452009,-3.811281649,2215,230,2,0,0.618498294313,0,1
139,2026-07-15T01:23:17.359320931Z,12.059003625,-3.710730033,2215,230,2,0,0.618498294313,0,1
140,2026-07-15T01:23:17.459756832Z,12.159439526,-3.610294132,2215,230,2,0,0.618498294313,0,1
141,2026-07-15T01:23:17.560412345Z,12.260095039,-3.509638619,2215,230,2,0,0.618498294313,0,1
142,2026-07-15T01:23:17.660789518Z,12.360472212,-3.409261446,2215,230,2,0,0.618498294313,0,1
143,2026-07-15T01:23:17.761403369Z,12.461086063,-3.308647595,2215,230,2,0,0.618498294313,0,1
144,2026-07-15T01:23:17.861877001Z,12.561559695,-3.208173963,2215,230,2,0,0.618498294313,0,1
145,2026-07-15T01:23:17.962485550Z,12.662168244,-3.107565414,2215,230,2,0,0.618498294313,0,1
146,2026-07-15T01:23:18.063092001Z,12.762774695,-3.006958963,2215,230,2,0,0.618498294313,0,1
147,2026-07-15T01:23:18.163588908Z,12.863271602,-2.906462056,2215,230,2,0,0.618498294313,0,1
148,2026-07-15T01:23:18.264192443Z,12.963875137,-2.805858521,2216,230,2,0,0.618303471367,0,1
149,2026-07-15T01:23:18.414835259Z,13.114517953,-2.655215705,2216,230,2,0,0.618303471367,0,1
150,2026-07-15T01:23:18.515290591Z,13.214973285,-2.554760373,2215,230,2,0,0.618498294313,0,1
151,2026-07-15T01:23:18.616043695Z,13.315726389,-2.454007269,2216,230,2,0,0.618303471367,0,1
152,2026-07-15T01:23:18.716700018Z,13.416382712,-2.353350946,2216,230,2,0,0.618303471367,0,1
153,2026-07-15T01:23:18.817137921Z,13.516820615,-2.252913043,2216,230,2,0,0.618303471367,0,1
154,2026-07-15T01:23:18.917786404Z,13.617469098,-2.152264560,2216,230,2,0,0.618303471367,0,1
155,2026-07-15T01:23:19.018563918Z,13.718246612,-2.051487046,2216,230,2,0,0.618303471367,0,1
156,2026-07-15T01:23:19.119311621Z,13.818994315,-1.950739343,2216,230,2,0,0.618303471367,0,1
157,2026-07-15T01:23:19.219759477Z,13.919442171,-1.850291487,2216,230,2,0,0.618303471367,0,1
158,2026-07-15T01:23:19.320270255Z,14.019952949,-1.749780709,2216,230,2,0,0.618303471367,0,1
159,2026-07-15T01:23:19.420990433Z,14.120673127,-1.649060531,2216,230,2,0,0.618303471367,0,1
160,2026-07-15T01:23:19.521631415Z,14.221314109,-1.548419549,2216,230,2,0,0.618303471367,0,1
161,2026-07-15T01:23:19.622142182Z,14.321824876,-1.447908782,2216,230,2,0,0.618303471367,0,1
162,2026-07-15T01:23:19.722722809Z,14.422405503,-1.347328155,2216,230,2,0,0.618303471367,0,1
163,2026-07-15T01:23:19.823520677Z,14.523203371,-1.246530287,2216,230,2,0,0.618303471367,0,1
164,2026-07-15T01:23:19.924299614Z,14.623982308,-1.145751350,2216,230,2,0,0.618303471367,0,1
165,2026-07-15T01:23:20.024754128Z,14.724436822,-1.045296836,2216,230,2,0,0.618303471367,0,1
166,2026-07-15T01:23:20.125368692Z,14.825051386,-0.944682272,2216,230,2,0,0.618303471367,0,1
167,2026-07-15T01:23:20.225815251Z,14.925497945,-0.844235713,2216,230,2,0,0.618303471367,0,1
168,2026-07-15T01:23:20.326562718Z,15.026245412,-0.743488246,2216,230,2,0,0.618303471367,0,1
169,2026-07-15T01:23:20.426975875Z,15.126658569,-0.643075089,2216,230,2,0,0.618303471367,0,1
170,2026-07-15T01:23:20.527624334Z,15.227307028,-0.542426630,2216,230,2,0,0.618303471367,0,1
171,2026-07-15T01:23:20.628245181Z,15.327927875,-0.441805783,2216,230,2,0,0.618303471367,0,1
172,2026-07-15T01:23:20.729482030Z,15.429164724,-0.340568934,2217,230,2,0,0.618108737129,0,1
173,2026-07-15T01:23:20.829946379Z,15.529629073,-0.240104585,2217,230,2,0,0.618108737129,0,1
174,2026-07-15T01:23:20.930461956Z,15.630144650,-0.139589008,2216,230,2,0,0.618303471367,0,1
175,2026-07-15T01:23:21.031094199Z,15.730776893,-0.038956765,2216,230,2,0,0.618303471367,0,1
176,2026-07-15T01:23:21.131732463Z,15.831415157,0.061681499,2216,230,2,0,0.618303471367,0,1
177,2026-07-15T01:23:21.232177786Z,15.931860480,0.162126822,2216,230,2,0,0.618303471367,0,1
178,2026-07-15T01:23:21.332685448Z,16.032368142,0.262634484,2216,230,2,0,0.618303471367,0,1
179,2026-07-15T01:23:21.433123491Z,16.132806185,0.363072527,2217,230,2,0,0.618108737129,0,1
180,2026-07-15T01:23:21.533813356Z,16.233496050,0.463762392,2217,230,2,0,0.618108737129,0,1
181,2026-07-15T01:23:21.634329584Z,16.334012278,0.564278620,2217,230,2,0,0.618108737129,0,1
182,2026-07-15T01:23:21.734843628Z,16.434526322,0.664792664,2217,230,2,0,0.618108737129,0,1
183,2026-07-15T01:23:21.835573518Z,16.535256212,0.765522554,2217,230,2,0,0.618108737129,0,1
184,2026-07-15T01:23:21.936211335Z,16.635894029,0.866160371,2217,230,2,0,0.618108737129,0,1
185,2026-07-15T01:23:22.036642404Z,16.736325098,0.966591440,2217,230,2,0,0.618108737129,0,1
186,2026-07-15T01:23:22.137251969Z,16.836934663,1.067201005,2217,230,2,0,0.618108737129,0,1
187,2026-07-15T01:23:22.237815725Z,16.937498419,1.167764761,2218,230,2,0,0.617914091520,0,1
188,2026-07-15T01:23:22.338449057Z,17.038131751,1.268398093,2219,230,2,0,0.617719534458,0,1
189,2026-07-15T01:23:22.438982761Z,17.138665455,1.368931797,2220,231,2,0,0.617525065864,0,1
190,2026-07-15T01:23:22.539620296Z,17.239302990,1.469569332,2212,230,2,0,0.619083296209,0,1
191,2026-07-15T01:23:22.640309616Z,17.339992310,1.570258652,2150,223,2,0,0.631356006981,0,1
192,2026-07-15T01:23:22.740976642Z,17.440659336,1.670925678,2154,223,2,0,0.630553504526,0,1
193,2026-07-15T01:23:22.841562829Z,17.541245523,1.771511865,2152,223,2,0,0.630954567576,0,1
194,2026-07-15T01:23:22.942111838Z,17.641794532,1.872060874,2088,216,2,0,0.643991222354,0,1
195,2026-07-15T01:23:23.042540413Z,17.742223107,1.972489449,2184,227,2,0,0.624582248720,0,1
196,2026-07-15T01:23:23.143107739Z,17.842790433,2.073056775,2215,230,2,0,0.618498294313,0,1
197,2026-07-15T01:23:23.243629274Z,17.943311968,2.173578310,2216,230,2,0,0.618303471367,0,1
198,2026-07-15T01:23:23.344357416Z,18.044040110,2.274306452,2209,229,2,0,0.619669099385,0,1
199,2026-07-15T01:23:23.444712472Z,18.144395166,2.374661508,2148,223,2,0,0.631757823444,0,1
200,2026-07-15T01:23:23.545010527Z,18.244693221,2.474959563,2221,231,2,0,0.617330685658,0,1
201,2026-07-15T01:23:23.645429392Z,18.345112086,2.575378428,2089,216,2,0,0.643784439667,0,1
